business_id,active,categories,review_count,business_name,stars
5jkZ3nUPZxUvtcbr8Uw,TRUE,Greek Restaurants,11,George's Gyros Greek Grill,4.5
BlvDO_RG2yElKu9XA1_g,TRUE,Sushi Bars Hawaiian Chinese Restaurants,37,Asian Island,4
0bUDim5OGuv8R0Qqq6J4A,TRUE,Restaurants,6,International House of Pancakes,2.5
0D_CYhlD2ILkmLR0pBmnA,TRUE,Food Specialty Food,5,Olive Gourmet,4
0QBrNvhrPQCaeo7mTo0zQ,TRUE,Restaurants,3,La Salcita,4.5
0xwm_AwS0d_5rwUprHGuw,TRUE,Food Coffee & Tea,16,Cup O'Karma,4
1sUowC7fJcn7mCxvJ5w,TRUE,Shopping,3,The Angel Store & More...,2.5
1bOb2izeJBZjHC7NWxiPA,TRUE,Breakfast & Brunch Sandwiches Restaurants,51,First Watch,3.5
1N0Z3uM8xbxKS8XiAnaog,TRUE,,3,Corporate Office Centers,2.5
2xCV0XGD9NxfWaVwA1DQ,TRUE,Pizza Restaurants,4,Nino's Pizzeria 2,4
34jE_5dujSWMIOBudQsiQ,TRUE,Doctors Health & Medical Obstetricians & Gynecologists,4,Dairiki Tami MD,5
3WVw1TNQbPBzaKCaQQ1AQ,TRUE,Chinese Restaurants,145,China Chili,3.5
3xbryp44xhpN4BohxXDdQ,TRUE,Bars Steakhouses Nightlife Restaurants,65,The Keg Steakhouse & Bar,3.5
4A5xmN21zi_TXnUESauUQ,TRUE,Breakfast & Brunch American (New) Sandwiches Restaurants,255,D'lish,4.5
4QayefhaPXm6wPpZpb0A,TRUE,Hotels & Travel Event Planning & Services Hotels,3,Premier Inn,4.5
4zMr3jk0ykmsk5sxsQMlA,TRUE,Department Stores Fashion Shopping,5,99 Cents Only Store,4
5EWgRkudDlcCbQSIL_twA,TRUE,Food Arts & Entertainment Street Vendors Festivals,12,Phoenix Food Truck Festival,2
5IgAihccTd8_iENVgpd9A,TRUE,Hotels & Travel Event Planning & Services Hotels,3,Comfort Suites,3.5
5rFC4EVrTv8g1PSEf6Xg,TRUE,Asian Fusion Restaurants,35,Eest Asian Bistro,4
5XAZC1hC6G0NDkmPyhmUg,TRUE,Food Grocery,5,Fry's Food & Drug Stores & Fry's Marketplace,3.5
65rmLRQ5JDwIl8UDEV7Q,TRUE,Hair Salons Beauty & Spas,3,Arizona Hair Company,3.5
6O53BksqSKzWM6Y9moEQ,TRUE,Nightlife Bars Sports Bars Restaurants,7,Mesquite Grill and Sports Bar,2.5
