business_id,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
5jkZ3nUPZxUvtcbr8Uw,10,17,19,16,11,11,0
BlvDO_RG2yElKu9XA1_g,25,16,21,14,20,12,8
0bUDim5OGuv8R0Qqq6J4A,7,3,3,0,1,6,6
0D_CYhlD2ILkmLR0pBmnA,0,0,0,1,1,2,0
0QBrNvhrPQCaeo7mTo0zQ,1,0,1,1,4,2,2
0xwm_AwS0d_5rwUprHGuw,3,1,10,3,5,5,0
1bOb2izeJBZjHC7NWxiPA,14,9,17,16,20,29,94
2xCV0XGD9NxfWaVwA1DQ,0,1,0,1,1,0,0
3WVw1TNQbPBzaKCaQQ1AQ,40,45,36,32,59,36,20
3xbryp44xhpN4BohxXDdQ,18,34,21,20,34,26,24
4A5xmN21zi_TXnUESauUQ,244,237,190,242,272,493,365
4QayefhaPXm6wPpZpb0A,3,4,3,3,4,2,2
4zMr3jk0ykmsk5sxsQMlA,4,2,3,9,12,2,9
5EWgRkudDlcCbQSIL_twA,0,1,1,0,4,2,0
5IgAihccTd8_iENVgpd9A,1,0,1,2,3,1,0
5rFC4EVrTv8g1PSEf6Xg,5,5,5,4,7,4,4
5XAZC1hC6G0NDkmPyhmUg,6,5,6,7,4,16,8
65rmLRQ5JDwIl8UDEV7Q,0,1,0,2,0,2,2
6O53BksqSKzWM6Y9moEQ,0,1,2,1,0,3,2
6RooEHgSdUa4rP3tWyRw,14,15,16,14,23,36,47
73hx2hut_2KPcGpCTO5YA,5,2,2,3,15,4,8
7smFzvh2E2fOOYs0Dl8w,1,4,7,9,8,4,2
7XuLxfYwZ9x72mEKXdv0A,0,0,0,5,1,2,0
8aZ0v511M1zpoZAC3N3VA,0,2,3,2,0,1,0
8IvK1VBMRqYY6CQzD6arg,2,3,0,1,2,6,8
8PVPPnv232xPOUgPrxmg,18,15,9,14,13,29,18
8vrk9UzM2oIey95PZOHuA,0,1,0,1,0,1,0
8wyZkzfBmCFkMwCGcR4PQ,18,13,14,8,9,0,0
92fePI5W6MwOaxMxphFjA,1,3,2,1,3,8,2
98noPZy1sH6NndWmdtuDw,5,2,3,3,4,5,5
9meXYVIw8yFg_yMG5RvCw,1,0,0,1,1,0,1
9pVS__IliMA2aNEYzrQrg,25,15,92,71,257,462,166
A5CFmkgdMEggaihtyxX4Q,0,0,0,0,2,1,1
AAig9FG0s8gYE4f8GfowQ,32,37,50,59,62,101,18
aBTFWuluGAJId7C4KNqeQ,5,6,4,2,8,5,7
aDuOZelvBHWKhNrXooow,20,22,20,17,13,1,2
AEvCwVegPstHNAkhdsUA,0,1,0,0,0,3,0
Bb1Xwd677TBSIPjw4x7oA,25,27,23,27,27,46,40
